measurementSiteReference,startLocatieForDisplayLat,startLocatieForDisplayLong,ROADNUMBER,Rijksweg
RWS01_MONIBAS_0010vwa0223ra,52.2841,5.18365,A1,1
RWS01_MONIBAS_0010vwa0269ra,52.2493,5.21355,A1,1
RWS01_MONIBAS_0010vwa0286ra,52.2379,5.22785,A1,1
RWS01_MONIBAS_0010vwa0541ra,52.1663,5.56221,A1,1
RWS01_MONIBAS_0010vwa0639ra,52.1906,5.69815,A1,1
RWS01_MONIBAS_0010vwa0892ra,52.196,6.04323,A1,1
RWS01_MONIBAS_0010vwa0950ra,52.2164,6.1212,A1,1
RWS01_MONIBAS_0010vwa1049ra,52.2343,6.18666,A1,1
RWS01_MONIBAS_0010vwa1128ra,52.2429,6.30103,A1,1
RWS01_MONIBAS_0010vwa1192ra,52.2484,6.39318,A1,1
RWS01_MONIBAS_0010vwa1234ra,52.26,6.45036,A1,1
RWS01_MONIBAS_0010vwa1310ra,52.2836,6.55168,A1,1
RWS01_MONIBAS_0010vwa1577ra,52.2862,6.76684,A1,1
RWS01_MONIBAS_0010vwa1627ra,52.2765,6.83474,A1,1
RWS01_MONIBAS_0010vwa1667ra,52.2939,6.885,A1,1
RWS01_MONIBAS_0010vwa1694ra,52.2882,6.92343,A1,1
RWS01_MONIBAS_0010vwa1757ra,52.3086,7.00491,A1,1
RWS01_MONIBAS_0010vwb0226ra,52.2818,5.18352,A1,1
RWS01_MONIBAS_0010vwb0249ra,52.2665,5.20492,A1,1
RWS01_MONIBAS_0010vwb0270ra,52.2487,5.21345,A1,1
RWS01_MONIBAS_0010vwb0287ra,52.2376,5.22916,A1,1
RWS01_MONIBAS_0010vwb1051ra,52.2342,6.18903,A1,1
RWS01_MONIBAS_0010vwb1132ra,52.2428,6.30632,A1,1
RWS01_MONIBAS_0010vwb1200ra,52.2499,6.40418,A1,1
RWS01_MONIBAS_0010vwb1236ra,52.2615,6.45388,A1,1
RWS01_MONIBAS_0010vwb1317ra,52.284,6.56209,A1,1
RWS01_MONIBAS_0010vwb1666ra,52.2938,6.88603,A1,1
RWS01_MONIBAS_0010vwb1697ra,52.2878,6.92747,A1,1
RWS01_MONIBAS_0010vwb1759ra,52.3092,7.00833,A1,1
