x	y	roadname	direction	meter	mark
122639.442	482884.121	A2	R	0.000	BEGIN
122660.627	482635.021	A2	R	0.250	LUS
122681.546	482405.976	A2	R	0.480	LUS, LUS
122703.151	482176.993	A2	R	0.710	LUS
122709.117	482117.290	A2	R	0.770	LUS
122794.239	481605.216	A2	R	1.290	LUS
122925.216	481292.364	A2	R	1.630	LUS
122958.817	481230.956	A2	R	1.700	LUS
123088.178	481017.152	A2	R	1.950	LUS
123109.685	480983.426	A2	R	1.990	LUS
123223.359	480806.854	A2	R	2.200	LUS
123272.662	480731.560	A2	R	2.290	LUS
123382.101	480564.159	A2	R	2.490	LUS, LUS
123409.248	480522.170	A2	R	2.540	AFRIT
123576.767	480261.332	A2	R	2.850	LUS
123629.981	480176.671	A2	R	2.950	LUS
123635.223	480168.155	A2	R	2.960	LUS, OPRIT
123863.781	479803.930	A2	R	3.390	LUS
124029.092	479541.686	A2	R	3.700	LUS
124082.469	479457.123	A2	R	3.800	LUS
124276.314	479118.845	A2	R	4.190	LUS
124281.012	479110.018	A2	R	4.200	LUS
124490.218	478711.607	A2	R	4.650	LUS
124508.728	478676.147	A2	R	4.690	LUS
124830.507	478054.496	A2	R	5.390	LUS
124835.144	478045.636	A2	R	5.400	LUS
124973.128	477779.253	A2	R	5.700	LUS
124977.684	477770.350	A2	R	5.710	LUS, LUS
125045.970	477636.795	A2	R	5.860	LUS
125059.292	477609.916	A2	R	5.890	LUS, LUS, LUS, LUS, LUS
125072.615	477583.036	A2	R	5.920	LUS, LUS
125252.784	477192.884	A2	R	6.350	LUS, LUS, LUS, LUS, LUS, LUS
125482.160	476671.376	A2	R	6.920	LUS
125700.498	476156.090	A2	R	7.480	LUS, LUS
125709.408	476127.444	A2	R	7.510	LUS
125873.040	475571.143	A2	R	8.090	LUS, LUS, LUS
125879.481	475552.208	A2	R	8.110	LUS
125949.844	475354.374	A2	R	8.320	AFRIT
125974.459	475288.845	A2	R	8.390	LUS, LUS, LUS, LUS, LUS, LUS, LUS, LUS
126070.144	475036.369	A2	R	8.660	OPRIT
126073.534	475026.962	A2	R	8.670	LUS, LUS, LUS, LUS, LUS, LUS
126224.021	474488.041	A2	R	9.230	LUS, LUS, LUS, LUS, LUS, LUS
126352.286	473932.672	A2	R	9.800	LUS
126477.305	473407.409	A2	R	10.340	LUS
126642.065	472882.847	A2	R	10.890	LUS
126831.621	472313.579	A2	R	11.490	LUS
127028.398	471746.875	A2	R	12.090	LUS, LUS, LUS, LUS, LUS, LUS, LUS
127195.947	471383.954	A2	R	12.490	AFRIT
127291.038	471208.007	A2	R	12.690	LUS, LUS, LUS, LUS, LUS, LUS
127466.469	470860.288	A2	R	13.080	OPRIT
127508.510	470737.274	A2	R	13.210	LUS, LUS, LUS, LUS, LUS, LUS
127605.589	470168.019	A2	R	13.790	LUS
127600.415	469408.068	A2	R	14.550	LUS
127592.622	468808.121	A2	R	15.150	LUS
127593.939	468208.159	A2	R	15.750	LUS
127596.037	467618.177	A2	R	16.340	LUS
127582.630	467028.370	A2	R	16.930	LUS
127563.886	466378.641	A2	R	17.580	LUS
127565.077	465828.850	A2	R	18.130	LUS, LUS, LUS, LUS, LUS, LUS
127582.633	465459.267	A2	R	18.500	AFRIT
127591.152	465259.450	A2	R	18.700	LUS, LUS
127593.463	465199.494	A2	R	18.760	LUS, LUS, LUS, LUS, LUS, LUS
127599.238	465049.606	A2	R	18.910	OPRIT
127602.050	464969.655	A2	R	18.990	LUS
127610.998	464639.781	A2	R	19.320	LUS, LUS, LUS, LUS, LUS, LUS
127691.094	464087.835	A2	R	19.880	LUS
127780.986	463822.982	A2	R	20.160	LUS
127909.325	463529.871	A2	R	20.480	LUS
128145.506	463000.186	A2	R	21.060	LUS
128383.453	462438.516	A2	R	21.670	LUS, LUS, LUS, LUS, LUS, LUS
128540.498	462059.787	A2	R	22.080	LUS, LUS, LUS, LUS, LUS, LUS
128617.371	461875.150	A2	R	22.280	LUS
128892.651	461220.691	A2	R	22.990	LUS
129097.650	460731.964	A2	R	23.520	LUS
129332.060	460280.305	A2	R	24.030	LUS
129725.342	459829.055	A2	R	24.630	LUS
129894.347	459658.659	A2	R	24.870	LUS, LUS
130163.447	459390.363	A2	R	25.250	LUS
130170.560	459383.333	A2	R	25.260	LUS
130394.922	459169.531	A2	R	25.570	LUS
130485.452	459090.875	A2	R	25.690	AFRIT
130738.494	458912.001	A2	R	26.000	LUS
130997.011	458740.921	A2	R	26.310	OPRIT
131830.259	458188.040	A2	R	27.310	AFRIT
132304.762	457805.941	A2	R	27.920	LUS
