x	y	roadname	direction	meter	mark
26971.553	375118.632	A58	L	0.000	BEGIN
27435.004	375426.812	A58	L	0.570	EIND
30555.000	386834.000	A58	L	0.570	BEGIN
30758.303	386886.609	A58	L	0.780	LOOP
31127.874	387084.502	A58	L	1.200	AFRIT
31163.040	387103.564	A58	L	1.240	LOOP
31189.415	387117.860	A58	L	1.270	LOOP
31198.206	387122.626	A58	L	1.280	LOOP
31233.372	387141.688	A58	L	1.320	LOOP
31655.251	387499.607	A58	L	1.880	OPRIT
33078.160	388863.587	A58	L	3.970	AFRIT
33189.837	388907.500	A58	L	4.090	LOOP
33273.890	388939.669	A58	L	4.180	OPRIT
34176.796	389293.897	A58	L	5.150	LOOP
34185.929	389297.969	A58	L	5.160	LOOP
34412.800	389423.877	A58	L	5.420	LOOP
34539.673	389537.023	A58	L	5.590	LOOP
36197.139	391067.948	A58	L	7.850	LOOP
36204.697	391074.496	A58	L	7.860	AFRIT
36333.193	391185.801	A58	L	8.030	LOOP, LOOP
36363.428	391211.990	A58	L	8.070	OPRIT
37944.796	391810.717	A58	L	9.850	LOOP, LOOP
38852.524	391746.552	A58	L	10.760	LOOP, LOOP
44484.418	389973.266	A58	L	16.840	AFRIT
44529.701	389933.904	A58	L	16.900	LOOP
44582.785	389888.286	A58	L	16.970	OPRIT
44637.549	389844.686	A58	L	17.040	LOOP
49844.667	389231.057	A58	L	22.400	LOOP
51213.175	388993.889	A58	L	23.790	LOOP, LOOP
52217.757	388889.829	A58	L	24.800	LOOP, LOOP
53242.943	388718.455	A58	L	25.840	LOOP, LOOP
53870.809	388551.067	A58	L	26.490	AFRIT
54051.890	388493.575	A58	L	26.680	LOOP
54146.648	388461.626	A58	L	26.780	OPRIT
54203.153	388441.446	A58	L	26.840	LOOP
55740.001	387721.813	A58	L	28.540	LOOP, LOOP
56628.719	387272.521	A58	L	29.540	LOOP, LOOP
56921.658	387209.883	A58	L	29.840	LOOP
57111.034	387194.496	A58	L	30.030	OPRIT
57588.840	387227.292	A58	L	30.510	LOOP
58562.383	387331.247	A58	L	31.490	LOOP
59580.087	387305.386	A58	L	32.510	LOOP, LOOP
60438.781	386794.792	A58	L	33.530	AFRIT
60475.951	386747.692	A58	L	33.590	LOOP, LOOP
60525.512	386684.893	A58	L	33.670	OPRIT
60563.548	386626.345	A58	L	33.740	LOOP
63167.945	383940.865	A58	L	37.500	LOOP
63286.428	383818.957	A58	L	37.670	OPRIT
71088.764	382291.228	A58	L	46.170	AFRIT
71528.718	382292.538	A58	L	46.610	LOOP
