x,y,roadname,direction,meter,offset,mark
156230.379,386779.736,A58,R,0.000,,BEGIN
155333.772,388458.810,A58,R,2.160,4.121,SENSOR
155125.643,388530.080,A58,R,2.380,1.890,SENSOR
155031.702,388564.357,A58,R,2.480,8.946,SENSOR
155012.903,388571.182,A58,R,2.500,8.416,EXIT
154899.506,388610.439,A58,R,2.620,13.323,ENTER
154521.746,388741.952,A58,R,3.020,1.782,SENSOR
154059.189,388903.636,A58,R,3.510,19.459;19.459;19.459,SENSOR;SENSOR;SENSOR
153983.670,388930.033,A58,R,3.590,0.647,SENSOR
153435.879,389120.612,A58,R,4.170,2.069,SENSOR
152816.852,389275.683,A58,R,4.810,2.047,SENSOR
152117.244,389296.262,A58,R,5.510,1.268,SENSOR
151497.472,389312.935,A58,R,6.130,15.909,SENSOR
151477.478,389313.405,A58,R,6.150,6.665,SENSOR
150807.615,389326.585,A58,R,6.820,17.322,SENSOR
150797.618,389326.834,A58,R,6.830,4.769,SENSOR
150247.852,389342.816,A58,R,7.380,2.997,SENSOR
149928.312,389357.787,A58,R,7.700,3.527,SENSOR
149888.835,389364.237,A58,R,7.740,9.700,EXIT
149645.517,389420.382,A58,R,7.990,1.789;1.789;1.789,SENSOR;SENSOR;SENSOR
149532.911,389461.711,A58,R,8.110,18.135;18.135;18.135,SENSOR;SENSOR;SENSOR
149397.533,389526.180,A58,R,8.260,13.186,ENTER
149114.832,389730.980,A58,R,8.610,15.721;5.079,SENSOR;SENSOR
148674.451,390195.162,A58,R,9.250,6.888;6.888;4.811;4.811;6.888;4.811,SENSOR;SENSOR;SENSOR;SENSOR;SENSOR;SENSOR
148049.631,390617.160,A58,R,10.010,17.492,SENSOR
148040.569,390621.389,A58,R,10.020,5.897,SENSOR
147551.220,390849.724,A58,R,10.560,15.104;5.133,SENSOR;SENSOR
147071.224,391074.449,A58,R,11.090,15.736,SENSOR
147062.164,391078.682,A58,R,11.100,5.684,SENSOR
147007.647,391103.741,A58,R,11.160,12.394,SENSOR
146465.033,391359.654,A58,R,11.760,10.355,SENSOR
