x,y,roadname,direction,meter,offset,mark
195111.291,320892.734,A79,L,0.000,19.137,BEGIN;SENSOR
194531.102,320674.154,A79,L,0.620,12.189,EXIT
194428.000,320635.814,A79,L,0.730,4.880,SENSOR
193297.358,320352.760,A79,L,1.900,10.924,SENSOR
192360.157,320762.331,A79,L,2.950,6.080,SENSOR
192090.253,320985.002,A79,L,3.300,11.199,ENTER
191505.673,321262.478,A79,L,3.950,12.675,EXIT
190500.072,321341.505,A79,L,4.960,14.535,SENSOR
189630.519,321523.270,A79,L,5.850,5.302,SENSOR
188596.245,321539.864,A79,L,6.900,3.667,SENSOR
188498.569,321518.442,A79,L,7.000,9.625,ENTER
187511.127,321487.391,A79,L,8.000,11.675,EXIT
187352.455,321507.295,A79,L,8.160,17.989,SENSOR
187212.618,321509.668,A79,L,8.300,11.758,ENTER
186477.667,321227.975,A79,L,9.100,18.936,SENSOR
185704.010,320752.499,A79,L,10.010,5.837,SENSOR
185526.443,320685.210,A79,L,10.200,12.804,EXIT
184627.065,320614.571,A79,L,11.110,14.901,SENSOR
184371.491,320661.840,A79,L,11.370,8.552,ENTER
183843.093,320773.084,A79,L,11.910,18.464,SENSOR
183020.786,320943.113,A79,L,12.750,9.233,EXIT
182096.588,320862.276,A79,L,13.680,8.780,SENSOR
182086.594,320861.928,A79,L,13.690,13.813,ENTER
180546.804,320995.242,A79,L,15.240,32.424,SENSOR
179746.616,320518.600,A79,L,16.190,14.836,EXIT
179608.959,320419.174,A79,L,16.360,19.766,SENSOR
179050.303,320034.456,A79,L,17.040,4.019,SENSOR
179042.808,320027.838,A79,L,17.050,5.180,SENSOR
178753.470,319766.336,A79,L,17.440,,END
