x	y	roadname	direction	meter	offset	mark
178705.411	319695.053	A79	R	0.000		BEGIN
179067.921	320024.686	A79	R	0.490	8.164, 8.164	SENSOR, SENSOR
179617.309	320406.077	A79	R	1.160	4.233	SENSOR
179792.416	320538.357	A79	R	1.380	13.345	ENTER
180551.985	320966.544	A79	R	2.270	3.273	SENSOR
181415.229	320898.491	A79	R	3.140	9.058	SENSOR
182131.445	320844.023	A79	R	3.860	6.493	EXIT
182201.053	320850.806	A79	R	3.930	1.474	SENSOR
183095.281	320908.196	A79	R	4.830	8.412	ENTER
183838.693	320751.012	A79	R	5.590	40.689	SENSOR
184366.785	320638.325	A79	R	6.130	10.637	EXIT
184622.913	320593.853	A79	R	6.390	36.030	SENSOR
185397.127	320629.736	A79	R	7.170	14.621	ENTER
185709.781	320732.833	A79	R	7.500	26.278	SENSOR
186486.011	321204.438	A79	R	8.410	42.631	SENSOR
187271.256	321483.831	A79	R	9.260	4.963	EXIT
187400.784	321478.980	A79	R	9.390	12.361	SENSOR
187925.707	321410.032	A79	R	9.920	13.549	ENTER
188555.878	321506.862	A79	R	10.560	11.363	EXIT
188604.688	321517.708	A79	R	10.610	37.698	SENSOR
189619.751	321501.712	A79	R	11.640	27.725	SENSOR
190498.940	321316.843	A79	R	12.540	39.223	SENSOR
191386.712	321259.627	A79	R	13.430	8.691	SENSOR
191475.195	321243.171	A79	R	13.520	9.424	ENTER
191934.715	321050.400	A79	R	14.020	4.388	EXIT
192334.583	320752.743	A79	R	14.520	10.596	SENSOR
193207.838	320335.753	A79	R	15.510	27.292	SENSOR
194408.066	320611.631	A79	R	16.750	16.899	SENSOR
194436.121	320622.258	A79	R	16.780	20.541	SENSOR
194454.821	320629.352	A79	R	16.800	17.081	ENTER
194912.953	320803.170	A79	R	17.290	16.216	SENSOR
195119.687	320878.409	A79	R	17.510	181.247	EIND, SENSOR
