"";"Onderwerpen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen en vrouwen";"Mannen";"Mannen";"Mannen";"Mannen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen"
"";"Leeftijd";"Totaal leeftijden";"Jonger dan 20 jaar";"20 tot 65 jaar";"65 jaar of ouder";"Totaal leeftijden";"Jonger dan 20 jaar";"20 tot 65 jaar";"65 jaar of ouder";"Totaal leeftijden";"Jonger dan 20 jaar";"20 tot 65 jaar";"65 jaar of ouder"
"Regio's";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Aa en Hunze";"2012";"25738";"5683";"14773";"5282";"12834";"2918";"7500";"2416";"12904";"2765";"7273";"2866"
"Aalburg";"2012";"12749";"3592";"7339";"1818";"6441";"1877";"3731";"833";"6308";"1715";"3608";"985"
"Aalsmeer";"2012";"30364";"7797";"17758";"4809";"15049";"3978";"8883";"2188";"15315";"3819";"8875";"2621"
"Aalten";"2012";"27305";"6556";"15751";"4998";"13686";"3387";"8083";"2216";"13619";"3169";"7668";"2782"
"Achtkarspelen";"2012";"28091";"7113";"16441";"4537";"14263";"3732";"8473";"2058";"13828";"3381";"7968";"2479"
"Alblasserdam";"2012";"19467";"5205";"10805";"3457";"9496";"2621";"5380";"1495";"9971";"2584";"5425";"1962"
"Albrandswaard";"2012";"25003";"6266";"15210";"3527";"12388";"3213";"7577";"1598";"12615";"3053";"7633";"1929"
"Alkmaar";"2012";"94269";"20558";"59257";"14454";"46423";"10567";"29506";"6350";"47846";"9991";"29751";"8104"
"Almelo";"2012";"72757";"17726";"43080";"11951";"36089";"9099";"21711";"5279";"36668";"8627";"21369";"6672"
"Almere";"2012";"193163";"53912";"123337";"15914";"95874";"27619";"60955";"7300";"97289";"26293";"62382";"8614"
"Alphen aan den Rijn";"2012";"72853";"17794";"44868";"10191";"35958";"9028";"22406";"4524";"36895";"8766";"22462";"5667"
"Alphen-Chaam";"2012";"9525";"2223";"5526";"1776";"4825";"1138";"2845";"842";"4700";"1085";"2681";"934"
"Ameland";"2012";"3526";"824";"2043";"659";"1753";"411";"1045";"297";"1773";"413";"998";"362"
"Amersfoort";"2012";"148250";"39255";"90445";"18550";"72849";"20063";"44943";"7843";"75401";"19192";"45502";"10707"
"Amstelveen";"2012";"83363";"18514";"49211";"15638";"39711";"9310";"24068";"6333";"43652";"9204";"25143";"9305"
"Amsterdam";"2012";"790110";"161709";"538815";"89586";"389005";"81735";"268248";"39022";"401105";"79974";"270567";"50564"
"Apeldoorn";"2012";"156961";"36267";"92874";"27820";"77525";"18863";"46582";"12080";"79436";"17404";"46292";"15740"
"Appingedam";"2012";"12053";"2548";"6954";"2551";"5822";"1307";"3453";"1062";"6231";"1241";"3501";"1489"
"Arnhem";"2012";"149271";"32748";"96884";"19639";"74067";"16757";"48905";"8405";"75204";"15991";"47979";"11234"
"Assen";"2012";"67208";"16729";"39727";"10752";"32931";"8552";"19727";"4652";"34277";"8177";"20000";"6100"
"Asten";"2012";"16404";"3995";"9618";"2791";"8409";"2130";"4966";"1313";"7995";"1865";"4652";"1478"
"Baarle-Nassau";"2012";"6722";"1265";"3948";"1509";"3424";"659";"2040";"725";"3298";"606";"1908";"784"
"Baarn";"2012";"24352";"5452";"13986";"4914";"11709";"2808";"6845";"2056";"12643";"2644";"7141";"2858"
"Barendrecht";"2012";"47053";"12986";"27786";"6281";"23229";"6729";"13643";"2857";"23824";"6257";"14143";"3424"
"Barneveld";"2012";"53521";"16038";"29756";"7727";"26617";"8249";"14953";"3415";"26904";"7789";"14803";"4312"
"Bedum";"2012";"10508";"2561";"6154";"1793";"5281";"1311";"3143";"827";"5227";"1250";"3011";"966"
"Beek (L.)";"2012";"16457";"3349";"9722";"3386";"7999";"1611";"4854";"1534";"8458";"1738";"4868";"1852"
"Beemster";"2012";"8719";"2092";"5044";"1583";"4360";"1080";"2544";"736";"4359";"1012";"2500";"847"
"Beesel";"2012";"13742";"3058";"8245";"2439";"6920";"1594";"4229";"1097";"6822";"1464";"4016";"1342"
"Bellingwedde";"2012";"9283";"1823";"5437";"2023";"4645";"932";"2804";"909";"4638";"891";"2633";"1114"
"Bergambacht";"2012";"9908";"2624";"5520";"1764";"4888";"1331";"2732";"825";"5020";"1293";"2788";"939"
