"Country Name","Country Code","Region","IncomeGroup","SpecialNotes",
"Aruba","ABW","Latin America & Caribbean","High income: nonOECD","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",
"Afghanistan","AFG","South Asia","Low income","Fiscal year end: March 20; reporting period for national accounts data: FY. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",
"Angola","AGO","Sub-Saharan Africa","Upper middle income","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002.",
"Albania","ALB","Europe & Central Asia","Upper middle income","",
"Andorra","AND","Europe & Central Asia","High income: nonOECD","",
"Arab World","ARB","","","Arab World aggregate. Arab World is composed of members of the League of Arab States.",
"United Arab Emirates","ARE","Middle East & North Africa","High income: nonOECD","April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.",
"Argentina","ARG","Latin America & Caribbean","Upper middle income","",
"Armenia","ARM","Europe & Central Asia","Lower middle income","",
"American Samoa","ASM","East Asia & Pacific","Upper middle income","",
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income: nonOECD","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",
"Australia","AUS","East Asia & Pacific","High income: OECD","Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.",
"Austria","AUT","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income","April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.",
"Burundi","BDI","Sub-Saharan Africa","Low income","",
"Belgium","BEL","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Benin","BEN","Sub-Saharan Africa","Low income","",
"Burkina Faso","BFA","Sub-Saharan Africa","Low income","",
"Bangladesh","BGD","South Asia","Low income","Fiscal year end: June 30; reporting period for national accounts data: FY.",
"Bulgaria","BGR","Europe & Central Asia","Upper middle income","April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.",
"Bahrain","BHR","Middle East & North Africa","High income: nonOECD","",
"Bahamas, The","BHS","Latin America & Caribbean","High income: nonOECD","",
"Bosnia and Herzegovina","BIH","Europe & Central Asia","Upper middle income","",
"Belarus","BLR","Europe & Central Asia","Upper middle income","",
"Belize","BLZ","Latin America & Caribbean","Upper middle income","",
"Bermuda","BMU","North America","High income: nonOECD","",
"Bolivia","BOL","Latin America & Caribbean","Lower middle income","",
"Brazil","BRA","Latin America & Caribbean","Upper middle income","",
"Barbados","BRB","Latin America & Caribbean","High income: nonOECD","",
"Brunei Darussalam","BRN","East Asia & Pacific","High income: nonOECD","",
"Bhutan","BTN","South Asia","Lower middle income","April 2013 database update: Data were updated using the government of Bhutan macroeconomic framework.",
"Botswana","BWA","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",
"Sub-Saharan Africa (IFC classification)","CAA","","","Sub-Saharan Africa (IFC classification) aggregate.",
"Central African Republic","CAF","Sub-Saharan Africa","Low income","",
"Canada","CAN","North America","High income: OECD","Fiscal year end: March 31; reporting period for national accounts data: CY.",
"East Asia and the Pacific (IFC classification)","CEA","","","East Asia and the Pacific (IFC classification) aggregate.",
"Europe and Central Asia (IFC classification)","CEU","","","Europe and Central Asia (IFC classification) aggregate.",
"Switzerland","CHE","Europe & Central Asia","High income: OECD","",
"Channel Islands","CHI","Europe & Central Asia","High income: nonOECD","",
"Chile","CHL","Latin America & Caribbean","High income: OECD","",
"China","CHN","East Asia & Pacific","Upper middle income","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Based on data from the National Bureau of Statistics, the methodology for national accounts exports and imports of goods and services in constant prices have been revised from 2000 onward.",
"Côte d'Ivoire","CIV","Sub-Saharan Africa","Lower middle income","",
"Latin America and the Caribbean (IFC classification)","CLA","","","Latin America and the Caribbean (IFC classification) aggregate.",
"Middle East and North Africa (IFC classification)","CME","","","Middle East and North Africa (IFC classification) aggregate.",
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","",
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","April 2013 database update: Based on IMF data, national accounts data were revised for 1990 onward; the base year changed to 1990.",
"Colombia","COL","Latin America & Caribbean","Upper middle income","",
"Comoros","COM","Sub-Saharan Africa","Low income","",
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Cabo Verde is the new name for the country previously listed as Cape Verde. Based on official government statistics and IMF data, national accounts data have been revised from 1990 onward; the new base year is 2007.",
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income","",
"South Asia (IFC classification)","CSA","","","South Asia (IFC classification) aggregate.",
"Caribbean small states","CSS","","","Caribbean small states aggregate. Includes Antigua and Barbuda, The Bahamas, Barbados, Belize, Guyana, Suriname, Dominica, Grenada, Jamaica, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, and Trinidad and Tobago.",
"Cuba","CUB","Latin America & Caribbean","Upper middle income","",
"Curaçao","CUW","Latin America & Caribbean","High income: nonOECD","",
"Cayman Islands","CYM","Latin America & Caribbean","High income: nonOECD","",
"Cyprus","CYP","Europe & Central Asia","High income: nonOECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
"Czech Republic","CZE","Europe & Central Asia","High income: OECD","",
"Germany","DEU","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
"Djibouti","DJI","Middle East & North Africa","Lower middle income","",
"Dominica","DMA","Latin America & Caribbean","Upper middle income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",
"Denmark","DNK","Europe & Central Asia","High income: OECD","",
"Dominican Republic","DOM","Latin America & Caribbean","Upper middle income","",
"Algeria","DZA","Middle East & North Africa","Upper middle income","",
"East Asia & Pacific","EAP","","","East Asia and Pacific regional aggregate (does not include high-income economies).",
"East Asia & Pacific (all income levels)","EAS","","","East Asia and Pacific regional aggregate (including high-income economies).",
"Europe & Central Asia","ECA","","","Europe and Central Asia regional aggregate (does not include high-income economies).",
"Europe & Central Asia (all income levels)","ECS","","","Europe and Central Asia regional aggregate (including high-income economies).",
"Ecuador","ECU","Latin America & Caribbean","Upper middle income","National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.",
"Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY.",
"Euro area","EMU","","","Euro area aggregate.",
"Eritrea","ERI","Sub-Saharan Africa","Low income","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.",
"Spain","ESP","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
